"Количество лиц, погибших в результате ДТП";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"2010";"";"";"";"";"";"";"";"";"";"";"";"2011";"";"";"";"";"";"";"";"";"";"";"2012";"";"";"";"";"";"";"";"";"";"";"";"2013";"";"";"";""
"";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь"
"Российская Федерация";"1453.0";"2634.0";"3851.0";"5314.0";"7350.0";"9563.0";"12478.0";"15510.0";"18333.0";"21328.0";"24109.0";"26567.0";"1458.0";"2662.0";"4008.0";"5644.0";"10166.0";"13233.0";"16438.0";"19426.0";"22636.0";"25220.0";"27953.0";"1560.0";"2953.0";"4469.0";"6160.0";"8295.0";"10781.0";"13843.0";"17057.0";"20147.0";"23173.0";"25695.0";"27991.0";"2839.0";"4263.0";"5751.0";"7801.0";"10364.0"
"Центральный фед.округ";"383.0";"687.0";"997.0";"1405.0";"1926.0";"2532.0";"3280.0";"4112.0";"4865.0";"5620.0";"6364.0";"7021.0";"357.0";"673.0";"1032.0";"1425.0";"2698.0";"3482.0";"4329.0";"5116.0";"5969.0";"6697.0";"7494.0";"425.0";"803.0";"1150.0";"1573.0";"2148.0";"2775.0";"3577.0";"4448.0";"5267.0";"6055.0";"6698.0";"7305.0";"703.0";"1047.0";"1449.0";"2012.0";"2667.0"
"Белгородская область";"8.0";"18.0";"24.0";"43.0";"62.0";"86.0";"114.0";"141.0";"169.0";"202.0";"225.0";"251.0";"6.0";"23.0";"39.0";"56.0";"104.0";"141.0";"177.0";"204.0";"230.0";"256.0";"289.0";"15.0";"35.0";"47.0";"71.0";"89.0";"105.0";"137.0";"174.0";"200.0";"230.0";"261.0";"285.0";"33.0";"44.0";"56.0";"79.0";"106.0"
"Брянская область";"14.0";"23.0";"27.0";"41.0";"59.0";"79.0";"94.0";"122.0";"150.0";"169.0";"213.0";"234.0";"12.0";"21.0";"32.0";"47.0";"90.0";"122.0";"145.0";"171.0";"203.0";"234.0";"269.0";"11.0";"27.0";"40.0";"56.0";"84.0";"91.0";"109.0";"140.0";"172.0";"195.0";"220.0";"238.0";"29.0";"47.0";"67.0";"88.0";"118.0"
"Владимирская область";"28.0";"49.0";"74.0";"91.0";"119.0";"155.0";"213.0";"277.0";"319.0";"359.0";"395.0";"447.0";"25.0";"49.0";"73.0";"95.0";"152.0";"206.0";"266.0";"333.0";"402.0";"450.0";"492.0";"26.0";"40.0";"49.0";"78.0";"114.0";"156.0";"202.0";"252.0";"313.0";"359.0";"407.0";"450.0";"37.0";"59.0";"84.0";"112.0";"141.0"
"Воронежская область";"19.0";"28.0";"61.0";"97.0";"143.0";"193.0";"253.0";"325.0";"384.0";"440.0";"491.0";"535.0";"25.0";"42.0";"64.0";"92.0";"192.0";"257.0";"322.0";"390.0";"459.0";"502.0";"570.0";"38.0";"59.0";"93.0";"130.0";"172.0";"227.0";"291.0";"362.0";"440.0";"517.0";"572.0";"615.0";"72.0";"103.0";"140.0";"186.0";"231.0"
"Ивановская область";"12.0";"16.0";"26.0";"33.0";"42.0";"56.0";"69.0";"93.0";"108.0";"128.0";"153.0";"169.0";"7.0";"11.0";"22.0";"26.0";"53.0";"69.0";"88.0";"102.0";"129.0";"157.0";"175.0";"16.0";"24.0";"32.0";"35.0";"51.0";"62.0";"94.0";"126.0";"144.0";"159.0";"174.0";"187.0";"13.0";"17.0";"22.0";"31.0";"50.0"
"Калужская область";"12.0";"24.0";"32.0";"46.0";"70.0";"90.0";"116.0";"152.0";"183.0";"206.0";"237.0";"266.0";"17.0";"32.0";"45.0";"58.0";"127.0";"160.0";"197.0";"228.0";"270.0";"296.0";"337.0";"11.0";"24.0";"54.0";"77.0";"110.0";"137.0";"165.0";"215.0";"251.0";"297.0";"327.0";"368.0";"27.0";"48.0";"65.0";"101.0";"117.0"
"Костромская область";"9.0";"15.0";"18.0";"24.0";"30.0";"35.0";"47.0";"56.0";"67.0";"80.0";"89.0";"95.0";"4.0";"8.0";"17.0";"19.0";"31.0";"41.0";"55.0";"67.0";"80.0";"89.0";"101.0";"4.0";"12.0";"14.0";"17.0";"22.0";"24.0";"40.0";"48.0";"56.0";"66.0";"71.0";"80.0";"8.0";"12.0";"14.0";"21.0";"36.0"
